repo_code	file_id	object_id	file_format	file_name	file_size	md5_sum	index_object_id	donor_id/donor_count	project_id/project_count	study	bundle_id
collaboratory	FI801581	1cd418ee-06a1-5802-bffe-98a0dd88639b	BAM	92c6d2aa90db9e34b4eebc149cc96412.ls3230_C9HBKANXX_3_4nf.ua.bam	12081015883	92c6d2aa90db9e34b4eebc149cc96412		DO229545	UTCA-FR		EGAR00001598560
collaboratory	FI801555	cd638420-2323-5819-82d7-191f7f41c552	BAM	bf1668cace593beddb89fb787cbb952f.ls3121_C8BE6ANXX_5_20nf.ua.bam	12823531460	bf1668cace593beddb89fb787cbb952f		DO229544	UTCA-FR		EGAR00001598525
collaboratory	FI801560	ed854095-55d0-58d3-89d9-f97ea9528e9d	BAM	f5acdd8c4991f040c72f11b32824d9e3.ls3486_C8W3DANXX_6_14nf.ua.bam	9311536394	f5acdd8c4991f040c72f11b32824d9e3		DO229100	UTCA-FR		EGAR00001526631
collaboratory	FI801575	07c6c321-3c1b-521d-be8c-283e9e38508b	BAM	4f029ff0aac5b75fc24cb2e78b090413.ls3368_C9HBKANXX_4_25nf.ua.bam	11329834036	4f029ff0aac5b75fc24cb2e78b090413		DO229100	UTCA-FR		EGAR00001526594
collaboratory	FI801577	8e9f4b6c-daad-541f-9a5a-e20b527efa50	BAM	59fecd4070ad531c8e1f314dd398d60b.ls3400_C8W3DANXX_6_4nf.ua.bam	10140736735	59fecd4070ad531c8e1f314dd398d60b		DO229545	UTCA-FR		EGAR00001598569
collaboratory	FI801506	9debe028-4da0-5b4b-b079-3a7b545636dc	BAM	0dcd457255e2d16f781b7b342b25179d.ls2857_C6LE3ANXX_1_5nf.ua.bam	15444305400	0dcd457255e2d16f781b7b342b25179d		DO229542	UTCA-FR		EGAR00001598425
collaboratory	FI801510	78f7a319-eddd-573e-b495-ba84549f7bdf	BAM	5513fbb05c0290ff34fedc5426313e1a.ls3557_C9KNWANXX_7_16nf.ua.bam	7694842288	5513fbb05c0290ff34fedc5426313e1a		DO229547	UTCA-FR		EGAR00001598617
collaboratory	FI801525	353169af-f212-5a41-90e7-f2d124ced9c7	BAM	be4b4c525ec4007ceaf19fad27182da3.ls3510_C8W3DANXX_3_3nf.ua.bam	9929687688	be4b4c525ec4007ceaf19fad27182da3		DO229545	UTCA-FR		EGAR00001598557
collaboratory	FI801530	805694c9-76e7-5160-bcfe-1153dc712340	BAM	219c360153f8d6e1888adf357e988697.ls2731_C6H7LANXX_6_18nf.ua.bam	25914290480	219c360153f8d6e1888adf357e988697		DO229539	UTCA-FR		EGAR00001598334
collaboratory	FI801533	f5f7dd36-f084-5424-8d04-b80b2467ec1c	BAM	67b10b7179980f1f670d038a552276f8.ls3594_C9KGPANXX_8_27nf.ua.bam	5986073191	67b10b7179980f1f670d038a552276f8		DO229546	UTCA-FR		EGAR00001598580
collaboratory	FI801457	89eb669b-789b-5df5-af6d-7751a950f2a8	BAM	6750fb218d7c3efa888001ef126f8987.ls3342_C9FD4ANXX_1_6nf.ua.bam	10346677370	6750fb218d7c3efa888001ef126f8987		DO229086	UTCA-FR		EGAR00001526444
collaboratory	FI801469	58539a18-dfe6-56f6-b5c0-d7e1088ed328	BAM	aec546bdb7193f2511982500d2539ba2.ls3429_C8KMHANXX_4_13nf.ua.bam	12230389576	aec546bdb7193f2511982500d2539ba2		DO229100	UTCA-FR		EGAR00001526609
collaboratory	FI801487	d2609cdc-24f6-534e-8c8a-b46a9ed92871	BAM	cd298c90fb3edeea0443735f11c89dc8.ls3291_C8W3DANXX_8_14nf.ua.bam	10997205375	cd298c90fb3edeea0443735f11c89dc8		DO229100	UTCA-FR		EGAR00001526624
collaboratory	FI801489	6660410a-300c-5e71-b300-b50dc6d03fa6	BAM	a3370a960649378363b404da14a9e4b5.ls3116_C79MMANXX_1_15nf.ua.bam	11894648014	a3370a960649378363b404da14a9e4b5		DO229543	UTCA-FR		EGAR00001598468
collaboratory	FI801497	7b996dec-1ee5-59f6-a25c-17dc89cc7916	BAM	ee4a0fbd7a313914d9aad9ad332db2c0.ls3424_C9BFHANXX_3_22nf.ua.bam	8969682495	ee4a0fbd7a313914d9aad9ad332db2c0		DO229094	UTCA-FR		EGAR00001526507
collaboratory	FI801420	213f551d-63c6-5b28-86fe-3500c91e1cc5	BAM	7c655832e46974d708e5325c111b622d.ls2776_C5UDWANXX_6_6nf.ua.bam	24627880836	7c655832e46974d708e5325c111b622d		DO229540	UTCA-FR		EGAR00001598339
collaboratory	FI801446	0586d1a6-a6a6-5c79-bf63-725f50218c4c	BAM	1e275de445c87b4f4ed624b1a5966e28.ls2762_C5UDWANXX_4_8nf.ua.bam	11318869641	1e275de445c87b4f4ed624b1a5966e28		DO229540	UTCA-FR		EGAR00001598367
collaboratory	FI801449	664baffd-0387-564d-bd41-3b1ed9e15f6e	BAM	7764d6c6a7b6b345011f9a0af8b4b995.ls3237_C9HBKANXX_4_18nf.ua.bam	11035922292	7764d6c6a7b6b345011f9a0af8b4b995		DO229102	UTCA-FR		EGAR00001526636
